ISO3,Year,FAOSTAT,HC_cat2,hotspot_pct,F.prod.tonne,F.exp.tonne,F.imp.tonne,Diet.supply.percent,Ag.area.km2,Pop.1000,GDP.pc
AFG,2002,2,LHC_L,1.778195514,8770290,126694.0613,313056.0613,91,377530,22600.77,330.3034944
AFG,2003,2,LHC_L,1.778195514,9394704,142016.5001,259127.5001,92,379100,23680.871,343.0808897
AFG,2004,2,LHC_L,1.778195514,8455833,159413.6718,268216.6718,92,379110,24726.684,333.2166171
AFG,2005,2,LHC_L,1.778195514,10582868,100065.7237,361144.7237,94,379100,25654.277,357.2347617
AFG,2006,2,LHC_L,1.778195514,9689753,156233.1503,336784.1503,95,379100,26433.049,365.2843706
AFG,2007,2,LHC_L,1.778195514,11036953,284135.663,328235.663,97,379100,27100.536,405.5488893
AFG,2008,2,LHC_L,1.778195514,9091273,396387.7777,647416.7761,99,379100,27722.276,412.0142124
AFG,2009,2,LHC_L,1.778195514,11981894,337897.301,1209878.301,100,379100,28394.813,488.3003713
AFG,2010,2,LHC_L,1.778195514,11230147,264945.3347,904625.3347,100,379110,29185.507,543.3029674
AFG,2011,2,LHC_L,1.778195514,9659058,232769.7968,860838.7968,98,379100,30117.413,528.7366831
AFG,2012,2,LHC_L,1.778195514,11655254,197840.3917,905685.3835,100,379100,31161.376,576.1900885
AFG,2013,2,LHC_L,1.778195514,11829455,260432.1524,1079244.152,103,379100,32269.589,587.5650355
AFG,2014,2,LHC_L,1.778195514,13200078,265992.0563,913478.0563,106,379100,33370.794,583.6560179
AFG,2015,2,LHC_L,1.778195514,12278606,461374.2417,1815204.242,106,379100,34413.603,574.1841143
AFG,2016,2,LHC_L,1.778195514,13310305,344742.7456,1299555.746,106,379100,35383.032,571.0753885
AFG,2017,2,LHC_L,1.778195514,12308508,386315.8276,1860713.828,107,379100,36296.113,571.4452409
AFG,2018,2,LHC_L,1.778195514,11109761,601673.9008,1642603.901,106,380100,37171.921,564.6170395
AGO,2000,7,NHC_UM,0,6558364,2202.845464,419631.8455,74,469613.9,16395.473,2205.2048
AGO,2001,7,NHC_UM,0,7960152,1035.828059,442420.8281,77,475164.51,16945.753,2223.334633
AGO,2002,7,NHC_UM,0,9465202,1984.113481,620477.1135,80,480715.12,17519.417,2444.417643
AGO,2003,7,NHC_UM,0,10245962,6769.315398,776268.3154,82,486265.73,18121.479,2433.861819
AGO,2004,7,NHC_UM,0,12167984,1592.564283,721358.5643,84,491816.34,18758.145,2608.785018
AGO,2005,7,NHC_UM,0,12990514,516.8795571,699010.8796,86,497366.95,19433.602,2896.554431
AGO,2006,7,NHC_UM,0,13287456,935.8151755,745750.8152,88,502917.56,20149.901,3116.18042
AGO,2007,7,NHC_UM,0,15090780,5723.394247,761227.3942,90,508468.17,20905.363,3424.372193
AGO,2008,7,NHC_UM,0,15838526,503.438612,843653.4386,98,514018.78,21695.634,3668.079554
AGO,2009,7,NHC_UM,0,20238842,585.0006014,751584.0006,107,519569.39,22514.281,3565.057886
AGO,2010,7,NHC_UM,0,21630864,10351.91667,903330.9167,113,525120,23356.246,3587.883645
AGO,2011,7,NHC_UM,0,23193944,546.8628804,1116286.863,115,530670.62,24220.661,3579.960055
AGO,2012,7,NHC_UM,0,18191378,653.0412606,1235946.041,116,536221.24,25107.931,3748.45155
AGO,2013,7,NHC_UM,0,26365444,274.630913,1358471.631,118,541771.86,26015.781,3796.881314
AGO,2014,7,NHC_UM,0,19165466,561.0169755,1466463.017,117,547322.48,26941.779,3843.198733
AGO,2015,7,NHC_UM,0,19634220,1067.455743,1054340.456,116,552873.1,27884.381,3748.320252
AGO,2016,7,NHC_UM,0,20303748,2466.532715,756981.5327,116,558423.8,28842.489,3530.310916
AGO,2017,7,NHC_UM,0,20759983,3132.098976,1351619.099,116,563974.3,29816.766,3409.927901
AGO,2018,7,NHC_UM,0,21664624,5373.444028,1260588.444,116,569524.9,30809.787,3233.903611
ALB,2000,3,HHC_UM,89.92549785,2646660,4683.222193,426364.2222,122,11440,3129.243,2244.624632
ALB,2001,3,HHC_UM,89.92549785,2694356,4628.327936,427170.3279,121,11390,3129.704,2453.624414
ALB,2002,3,HHC_UM,89.92549785,2738418,5356.688435,481235.6884,120,11400,3126.187,2572.721432
ALB,2003,3,HHC_UM,89.92549785,2770355,4794.418632,542214.4186,120,11210,3118.023,2725.171389
ALB,2004,3,HHC_UM,89.92549785,2872446,6293.070604,618784.0706,121,11220,3104.892,2887.370342
ALB,2005,3,HHC_UM,89.92549785,2925509,3693.388507,589973.3885,121,10770,3086.81,3062.673883
ALB,2006,3,HHC_UM,89.92549785,3020153,12498.6411,572001.6411,122,11200,3063.021,3263.901713
ALB,2007,3,HHC_UM,89.92549785,2961847,8639.921806,559906.9218,125,11190,3033.998,3485.322409
ALB,2008,3,HHC_UM,89.92549785,3194703,20948.78155,553092.7811,129,11810,3002.678,3775.581314
ALB,2009,3,HHC_UM,89.92549785,3306389,8032.812828,519701.8128,132,12013,2973.048,3928.450391
ALB,2010,3,HHC_UM,89.92549785,3600734,15507.97802,499758.978,136,12013,2948.023,4094.350334
ALB,2011,3,HHC_UM,89.92549785,3777399,20623.36604,531569.366,138,12010,2928.592,4209.874801
ALB,2012,3,HHC_UM,89.92549785,3895391,21889.6147,486079.609,137,12013,2914.096,4276.607904
ALB,2013,3,HHC_UM,89.92549785,3908922,28956.30855,428643.3086,134,11873,2903.79,4327.37996
ALB,2014,3,HHC_UM,89.92549785,3948522,44342.68131,301057.6813,133,11742.9,2896.305,4413.296891
ALB,2015,3,HHC_UM,89.92549785,4071473,61605.93059,378246.9306,135,11743,2890.513,4524.373086
ALB,2016,3,HHC_UM,89.92549785,4224747,71443.65599,313894.656,136,11817,2886.438,4681.826563
ALB,2017,3,HHC_UM,89.92549785,4278148,85981.36646,281575.3665,136,11691.81,2884.169,4864.310616
ALB,2018,3,HHC_UM,89.92549785,4256803,83403.67899,256787.679,137,11740.81,2882.74,5074.857222
ARE,2000,225,NHC_H,0,3238037,274248.2741,3694873.274,123,5470,3134.062,63251.42208
ARE,2001,225,NHC_H,0,1494022,192334.6829,3132313.683,120,5620,3302.719,60861.21072
ARE,2002,225,NHC_H,0,1401974,279050.312,2453322.312,116,5660,3478.777,59187.34304
ARE,2003,225,NHC_H,0,1252169,242616.863,3202614.863,112,5540,3711.932,60351.15631
ARE,2004,225,NHC_H,0,1447090,420716.8853,3100557.885,111,5540,4068.57,60328.21673
ARE,2005,225,NHC_H,0,1438296,287295.9199,4796225.92,110,5570,4588.225,56092.95689
ARE,2006,225,NHC_H,0,1375919,143133.9833,4811426.983,111,5386,5300.174,53335.0517
ARE,2007,225,NHC_H,0,1373656,182655.2059,5239591.206,112,5326,6168.838,47283.84196
ARE,2008,225,NHC_H,0,1485981,258717.8657,4663876.859,114,5396,7089.487,42456.80187
ARE,2009,225,NHC_H,0,1486766,180733.1835,5964238.184,116,3879,7917.372,36024.07643
ARE,2010,225,NHC_H,0,1567953,953612.3084,2611862.308,118,3923,8549.988,33893.26387
ARE,2011,225,NHC_H,0,1030030,120349.2711,5701749.271,121,3885,8946.777,34634.85827
ARE,2012,225,NHC_H,0,977906,112933.6134,7251226.315,124,3767,9141.596,35416.88404
ARE,2013,225,NHC_H,0,974413,100265.1739,8089777.174,126,3794,9197.91,36978.84108
ARE,2014,225,NHC_H,0,1210873,409474.1581,7120887.158,127,3825,9214.175,38495.01711
ARE,2015,225,NHC_H,0,1309282,213815.2175,7142426.218,126,3828,9262.9,40247.76452
ARE,2016,225,NHC_H,0,1326443,323089.7988,6241137.799,125,3838,9360.98,41045.13304
ARE,2017,225,NHC_H,0,1332710,260760.32,9332425.32,124,3838,9487.203,41460.27034
ARE,2018,225,NHC_H,0,1285486,797116.1172,3911925.117,124,3817.5,9630.959,41327.35272
ARG,2000,9,LHC_UM,7.267008649,105417771,30390642.22,684733.2237,132,1285100,36870.787,8224.110819
ARG,2001,9,LHC_UM,7.267008649,108233324,33606957.03,671867.0302,128,1286060,37275.652,7776.139541
ARG,2002,9,LHC_UM,7.267008649,108302054,29087649.95,456437.9524,125,1287100,37681.749,6854.295172
ARG,2003,9,LHC_UM,7.267008649,111187548,30419122.19,654606.1884,127,1291033,38087.868,7380.467475
ARG,2004,9,LHC_UM,7.267008649,110056346,30425471.26,803725.2611,128,1294966,38491.972,7962.412723
ARG,2005,9,LHC_UM,7.267008649,129581439,40479488.09,828614.0914,129,1299209,38892.931,8577.866538
ARG,2006,9,LHC_UM,7.267008649,124418007,37267666.08,826961.0751,130,1301389,39289.878,9174.502925
ARG,2007,9,LHC_UM,7.267008649,140585053,45066245.92,1945720.917,130,1299684,39684.295,9901.509885
ARG,2008,9,LHC_UM,7.267008649,143940270,45018710.98,2365741.262,130,1270469,40080.16,10201.47619
ARG,2009,9,LHC_UM,7.267008649,106606114,27647014.21,1149968.213,130,1243284,40482.788,9502.244054
ARG,2010,9,LHC_UM,7.267008649,142388713,41598977.48,436330.4789,130,1262679,40895.752,10385.96443
ARG,2011,9,LHC_UM,7.267008649,154947737,42986496.85,423762.8493,131,1253184,41320.5,10883.31536
ARG,2012,9,LHC_UM,7.267008649,140008027,48466745.84,356045.2305,133,1247419,41755.196,10649.83729
ARG,2013,9,LHC_UM,7.267008649,151911193,45595455.84,448340.8403,135,1229374,42196.03,10784.6307
ARG,2014,9,LHC_UM,7.267008649,156177286,35319632.46,439977.4582,136,1200129,42637.511,10398.69401
ARG,2015,9,LHC_UM,7.267008649,173146762,44871654.87,454216.8695,136,1170884,43075.416,10568.15781
ARG,2016,9,LHC_UM,7.267008649,172676404,55279834.87,1024225.868,136,1141639,43508.46,10239.48135
ARG,2017,9,LHC_UM,7.267008649,184531911,51693194.12,1964632.118,136,1112394,43937.14,10419.45541
ARG,2018,9,LHC_UM,7.267008649,162958997,44859530.83,5185429.833,136,1083817.597,44361.15,10049.55524
ARM,2000,1,HHC_LM,100,1731280,3235.567325,422697.5673,94,13230,3069.591,1403.028515
ARM,2001,1,HHC_LM,100,2007607,5970.823984,338502.824,96,13280,3050.687,1547.251471
ARM,2002,1,HHC_LM,100,2114151,3562.279209,401636.2792,100,13910,3033.978,1761.135207
ARM,2003,1,HHC_LM,100,2306917,10208.09131,141060.0913,106,14440,3017.932,2018.363474
ARM,2004,1,HHC_LM,100,2692241,7365.186342,479392.1863,111,15050,3000.72,2243.092692
ARM,2005,1,HHC_LM,100,2952512,11767.23703,394063.237,114,16050,2981.269,2571.553412
ARM,2006,1,HHC_LM,100,2935741,20751.59681,421054.5968,117,17564,2958.307,2933.592322
ARM,2007,1,HHC_LM,100,3375125,9945.542491,661121.5425,118,17519,2932.618,3364.709184
ARM,2008,1,HHC_LM,100,3421635,64608.06291,506129.0625,118,17488,2907.618,3627.800445
ARM,2009,1,HHC_LM,100,3326640,22151.01128,557505.0113,118,17463,2888.092,3137.343925
ARM,2010,1,HHC_LM,100,2825855,15655.33386,606052.3339,119,17350,2877.319,3218.378299
ARM,2011,1,HHC_LM,100,3261845,20439.31986,681505.3199,121,16981,2876.538,3370.553447
ARM,2012,1,HHC_LM,100,3565092,30115.92662,753864.9244,123,16830,2884.234,3603.583354
ARM,2013,1,HHC_LM,100,3758112,51424.68404,654732.684,125,16830,2897.588,3705.345887
ARM,2014,1,HHC_LM,100,4015663,46081.66842,625058.6684,126,16807,2912.409,3819.217787
ARM,2015,1,HHC_LM,100,4138662,48936.15685,579516.1568,126,16767,2925.553,3923.708455
ARM,2016,1,HHC_LM,100,3810920,96672.7163,435004.7163,125,16768,2936.143,3917.378341
ARM,2017,1,HHC_LM,100,3478282,63812.85643,590547.8564,124,16761,2944.791,4198.823265
ARM,2018,1,HHC_LM,100,2950039,75051.4567,664550.4567,124,16773,2951.745,4406.758686
ATG,2000,8,HHC_H,95.04455019,20390,778.3227288,16712.32273,90,90,76.016,13126.09087
ATG,2001,8,HHC_H,95.04455019,20580,1320.193076,17484.19308,88,90,77.212,12333.58163
ATG,2002,8,HHC_H,95.04455019,19787,8149.04082,16930.04082,88,90,78.295,12287.47657
ATG,2003,8,HHC_H,95.04455019,21646,1608.200142,26718.20014,92,90,79.3,12867.65197
ATG,2004,8,HHC_H,95.04455019,22238,6037.462997,28645.463,95,90,80.336,13434.24827
ATG,2005,8,HHC_H,95.04455019,19467,1653.723549,23780.72355,99,90,81.465,14108.17536
ATG,2006,8,HHC_H,95.04455019,20372,2110.44068,20463.44068,98,90,82.704,15660.18755
ATG,2007,8,HHC_H,95.04455019,19443,2822.333949,19726.33395,98,90,84.026,16851.29647
ATG,2008,8,HHC_H,95.04455019,20111,7448.240459,13657.99867,96,90,85.397,16579.55509
ATG,2009,8,HHC_H,95.04455019,19980,2130.108458,13540.10846,95,90,86.746,14369.19768
ATG,2010,8,HHC_H,95.04455019,16816,8860.421019,7266.421019,94,90,88.028,13048.96058
ATG,2011,8,HHC_H,95.04455019,16932,2026.139243,20376.13924,95,90,89.253,12618.50327
ATG,2012,8,HHC_H,95.04455019,16577,22899.93319,0,96,90,90.409,12877.17415
ATG,2013,8,HHC_H,95.04455019,16687,445.1247328,25356.12473,98,90,91.516,12645.51809
ATG,2014,8,HHC_H,95.04455019,16718,6440.977129,15549.97713,98,90,92.562,12976.33146
ATG,2015,8,HHC_H,95.04455019,18591,691.8445672,26835.84457,99,90,93.566,13327.43445
ATG,2016,8,HHC_H,95.04455019,18823,9609.451743,11118.45174,99,90,94.527,13918.98186
ATG,2017,8,HHC_H,95.04455019,18939,7508.660105,19753.6601,100,90,95.426,14220.52085
ATG,2018,8,HHC_H,95.04455019,18408,12867.68005,9871.680049,100,90,96.286,15073.53277
AUS,2000,10,LHC_H,8.540828419,76423418,30207691.64,272540.6374,124,4554690,18991.431,44334.41639
AUS,2001,10,LHC_H,8.540828419,75874110,26921162.43,316324.4338,125,4557000,19194.672,44585.21119
AUS,2002,10,LHC_H,8.540828419,80626387,27369374.64,335640.6431,125,4470000,19401.368,45806.7194
AUS,2003,10,LHC_H,8.540828419,56870403,16317190.9,742257.9013,125,4395000,19624.166,46595.92349
AUS,2004,10,LHC_H,8.540828419,82167370,30364995.78,400713.7752,126,3949060,19879.649,47926.72586
AUS,2005,10,LHC_H,8.540828419,76052934,25061234.25,414956.2534,128,4102300,20178.54,48813.91641
AUS,2006,10,LHC_H,8.540828419,80650798,28065355.46,507234.457,129,4093020,20526.303,49443.23229
AUS,2007,10,LHC_H,8.540828419,54851898,15410711.04,654239.0374,130,3983555,20916.344,51024.20916
AUS,2008,10,LHC_H,8.540828419,63806741,17447697.37,550066.5346,130,3892880,21332.282,51841.261
AUS,2009,10,LHC_H,8.540828419,72988178,25089136.07,608902.0726,130,3842570,21750.851,51767.40246
AUS,2010,10,LHC_H,8.540828419,72003283,25229616.58,536247.575,131,3763720,22154.679,52022.1256
AUS,2011,10,LHC_H,8.540828419,79066583,30171827.05,607911.0504,131,3961210,22538.001,52567.76192
AUS,2012,10,LHC_H,8.540828419,85462281,39457746.43,538472.9322,133,3870760,22903.948,53682.03214
AUS,2013,10,LHC_H,8.540828419,79162013,33307970.95,646432.9506,135,3717750,23254.913,54129.93577
AUS,2014,10,LHC_H,8.540828419,81306056,33195690.24,834949.2366,137,3744230,23596.424,54679.41645
AUS,2015,10,LHC_H,8.540828419,80012813,33236616.19,835215.1882,137,3481190,23932.502,55079.89234
AUS,2016,10,LHC_H,8.540828419,80328294,32163118.4,845484.3958,137,3426020,24262.712,55728.68226
AUS,2017,10,LHC_H,8.540828419,94762742,44604520.71,751334.7113,137,3718370,24584.62,56058.46595
AUS,2018,10,LHC_H,8.540828419,76637097,28928100.43,764869.4318,136,3588950,24898.152,56832.05048
AUT,2000,11,NHC_H,0,17224573,1875130.057,1875241.057,145,29402,8069.276,42001.21077
AUT,2001,11,NHC_H,0,17828768,2056093.09,1802574.09,144,29161,8097.748,42370.93025
AUT,2002,11,NHC_H,0,18000520,2074483.883,2000191.883,142,29022,8134.412,42859.32994
AUT,2003,11,NHC_H,0,16655527,1936338.945,1960411.945,142,28852.3,8175.852,43052.6026
AUT,2004,11,NHC_H,0,18413969,1986560.128,2134681.128,144,28674,8216.805,43956.5829
AUT,2005,11,NHC_H,0,18030382,2239303.404,2249394.404,145,28568,8253.65,44637.85601
AUT,2006,11,NHC_H,0,17050874,2274387.231,2446341.231,146,28433,8285.343,45951.73464
AUT,2007,11,NHC_H,0,17633361,2352958.414,2617048.414,147,28301,8313.737,47510.29379
AUT,2008,11,NHC_H,0,19392421,2283723.389,2678536.138,146,28094,8341.532,48053.48236
AUT,2009,11,NHC_H,0,18656349,2600609.881,2908634.881,147,27950,8372.663,46123.4911
AUT,2010,11,NHC_H,0,17805682,3017432.25,3155287.25,146,27792,8409.949,46858.04327
AUT,2011,11,NHC_H,0,19832126,2815271.782,3421700.782,147,27573,8453.501,48065.31654
AUT,2012,11,NHC_H,0,18110063,2935788.423,3142780.187,146,27352,8502.227,48172.23812
AUT,2013,11,NHC_H,0,18312657,2930469.917,3506094.917,145,27164,8556.189,47901.36613
AUT,2014,11,NHC_H,0,20768488,3444915.192,3684429.192,144,27142,8615.214,47842.74891
AUT,2015,11,NHC_H,0,18099562,3233110.273,4003264.273,144,27184.5,8678.66,47789.38502
AUT,2016,11,NHC_H,0,19976032,3376668.483,4030561.483,145,26701.7,8747.301,48215.89053
AUT,2017,11,NHC_H,0,18862955,3359855.139,4111134.139,146,26546.2,8819.901,49031.10703
AUT,2018,11,NHC_H,0,18054868,2902596.594,4153363.594,147,26528.3,8891.388,50051.78591
AZE,2000,52,HHC_UM,99.18539476,5357954,168555.0509,747547.0509,100,47404,8122.741,1659.011972
AZE,2001,52,HHC_UM,99.18539476,6263586,54585.16271,713308.1627,103,47456,8197.298,1809.182788
AZE,2002,52,HHC_UM,99.18539476,6801105,87100.53462,818548.5346,107,47449,8277.061,1965.231156
AZE,2003,52,HHC_UM,99.18539476,7020152,176712.4997,963106.4997,112,47546,8361.433,2149.500288
AZE,2004,52,HHC_UM,99.18539476,7228913,190750.4167,1291492.417,118,47549,8448.946,2327.941872
AZE,2005,52,HHC_UM,99.18539476,7848295,253644.8219,1098767.822,123,47586,8538.605,2948.57338
AZE,2006,52,HHC_UM,99.18539476,8079459,260969.102,1431933.102,125,47560,8630.146,3921.516094
AZE,2007,52,HHC_UM,99.18539476,8202145,291995.8481,1987758.848,125,47565,8724.243,4864.588909
AZE,2008,52,HHC_UM,99.18539476,8691875,408098.8596,1783963.859,124,47567,8821.873,5268.028277
AZE,2009,52,HHC_UM,99.18539476,9284673,351315.2963,1538302.296,124,47573,8924.388,5643.207744
AZE,2010,52,HHC_UM,99.18539476,8577864,255939.3035,2119016.303,125,47668,9032.461,5843.533768
AZE,2011,52,HHC_UM,99.18539476,9235225,315228.9844,1904135.984,127,47687,9146.275,5677.157671
AZE,2012,52,HHC_UM,99.18539476,9763525,347159.3866,2141496.381,128,47683,9264.692,5725.634129
AZE,2013,52,HHC_UM,99.18539476,10159598,277011.2847,2224323.285,128,47698,9385.468,5982.325931
AZE,2014,52,HHC_UM,99.18539476,9882194,263916.7583,2181777.758,128,47697,9505.622,6073.40275
AZE,2015,52,HHC_UM,99.18539476,10338244,240552.9782,1760462.978,129,47698,9622.745,6064.473341
AZE,2016,52,HHC_UM,99.18539476,10692027,324298.1838,1581490.184,130,47730,9736.043,5813.332893
AZE,2017,52,HHC_UM,99.18539476,11001412,441312.2513,1748183.251,131,47775,9845.32,5765.410772
AZE,2018,52,HHC_UM,99.18539476,11476337,563146.7176,1726340.718,131,47795,9949.537,5801.437925
BEL,2000,255,NHC_H,0,27055187,4136343.705,13821704.7,147,13896,10282.033,39588.59788
BEL,2001,255,NHC_H,0,25123177,4180431.138,13447137.14,146,13868,10319.019,39886.49531
BEL,2002,255,NHC_H,0,26862807,4099253.302,14399417.3,146,13891,10364.885,40385.86809
BEL,2003,255,NHC_H,0,26693793,4464631.962,14112751.96,145,13922,10419.032,40634.59649
BEL,2004,255,NHC_H,0,27491833,4914062.665,13395914.66,145,13913,10480.117,41903.9924
BEL,2005,255,NHC_H,0,26496662,4874487.909,13831620.91,145,13830,10546.886,42641.69358
BEL,2006,255,NHC_H,0,25667283,4633449.394,14867021.39,145,13800,10619.475,43442.5827
BEL,2007,255,NHC_H,0,26683782,6242340.783,14776091.78,145,13669,10697.572,44710.38425
BEL,2008,255,NHC_H,0,24759044,5103129.769,15017054.08,145,13653,10778.758,44556.82522
BEL,2009,255,NHC_H,0,26435387,4690525.69,15587451.69,146,13636,10859.94,43306.59602
BEL,2010,255,NHC_H,0,25958627,4990505.953,15728703.95,146,13557,10938.739,44141.87814
BEL,2011,255,NHC_H,0,27424687,5319006.168,15925797.17,146,13357,11013.853,44309.63254
BEL,2012,255,NHC_H,0,26350570,5202792.602,16891701.1,147,13320,11085.358,44361.21009
BEL,2013,255,NHC_H,0,26967087,5364766.866,16282784.87,148,13365,11154.009,44355.37731
BEL,2014,255,NHC_H,0,28558084,5394369.983,17380423.98,149,13313,11221.231,44855.9702
BEL,2015,255,NHC_H,0,27510703,5378972.061,16993831.06,149,13280,11287.94,45507.23106
BEL,2016,255,NHC_H,0,26344842,5461864.131,17836549.13,148,13508,11354.42,45850.93303
BEL,2017,255,NHC_H,0,30479057,6406401.569,18925073.57,148,13270,11419.748,46415.27805
BEL,2018,255,NHC_H,0,28035226,6096448.318,19171021.32,149,13540,11482.178,47030.58215
BEN,2000,53,LHC_L,1.239894373,4610162,246127.7327,99022.73271,109,31950,6865.951,949.7370233
BEN,2001,53,LHC_L,1.239894373,4950328,196736.6496,107942.6496,111,32650,7076.733,970.5910032
BEN,2002,53,LHC_L,1.239894373,5735010,202388.5245,157319.5245,114,33650,7295.394,985.2126193
BEN,2003,53,LHC_L,1.239894373,5465117,195552.5641,189599.5641,115,34670,7520.555,988.6274256
BEN,2004,53,LHC_L,1.239894373,5488895,203441.8834,133914.8834,116,34670,7750.004,1001.854606
BEN,2005,53,LHC_L,1.239894373,5445135,253244.8115,108054.8115,118,34840,7982.225,989.3726024
BEN,2006,53,LHC_L,1.239894373,5182755,182374.2222,308858.2222,119,33400,8216.897,999.0205892
BEN,2007,53,LHC_L,1.239894373,4850605,272932.6871,226543.6871,121,33500,8454.793,1029.032707
BEN,2008,53,LHC_L,1.239894373,5881250,223524.653,300610.6435,121,35500,8696.921,1049.368673
BEN,2009,53,LHC_L,1.239894373,6784871,298804.8218,317059.8218,122,36500,8944.708,1043.96139
BEN,2010,53,LHC_L,1.239894373,6370026,291406.5019,337283.5019,123,36500,9199.259,1036.534594
BEN,2011,53,LHC_L,1.239894373,6909066,183806.145,531114.145,124,36500,9460.831,1037.747229
BEN,2012,53,LHC_L,1.239894373,7312958,319270.4701,326411.3972,124,37500,9729.249,1057.667169
BEN,2013,53,LHC_L,1.239894373,7938260,297016.1186,330487.1186,124,39500,10004.591,1102.526853
BEN,2014,53,LHC_L,1.239894373,8205331,368567.3955,301896.3955,125,39500,10286.844,1140.448173
BEN,2015,53,LHC_L,1.239894373,7412791,408002.1495,358525.1495,125,39500,10575.952,1128.995399
BEN,2016,53,LHC_L,1.239894373,8299088,357833.3788,341419.3788,125,39500,10872.063,1134.924101
BEN,2017,53,LHC_L,1.239894373,8689002,475642.1152,366930.1152,125,39500,11175.198,1166.761917
BEN,2018,53,LHC_L,1.239894373,9170800,541470.2992,383584.2992,124,39500,11485.044,1211.318027
BFA,2000,233,NHC_L,0,3424061,164007.5925,138653.5925,109,97700,11607.942,489.454984
BFA,2001,233,NHC_L,0,4463229,133956.2432,96360.24323,112,105700,11944.587,507.1178851
BFA,2002,233,NHC_L,0,4543065,164629.6288,70374.62882,114,107700,12293.1,514.1899906
BFA,2003,233,NHC_L,0,5079048,146792.4844,61487.48435,115,111700,12654.621,538.4736907
BFA,2004,233,NHC_L,0,4521223,476580.0997,43635.09975,116,106700,13030.569,546.3574268
BFA,2005,233,NHC_L,0,5509738,255848.8481,43315.84806,116,109700,13421.93,576.3715303
BFA,2006,233,NHC_L,0,5631016,267914.1121,83500.1121,118,107700,13829.176,594.3788079
BFA,2007,233,NHC_L,0,4724684,277317.1346,104958.1346,119,109700,14252.021,600.4557774
BFA,2008,233,NHC_L,0,6367655,190569.6428,100029.6356,121,120700,14689.725,616.3532543
BFA,2009,233,NHC_L,0,5518703,205307.6263,119583.6263,122,117700,15141.098,615.6909235
BFA,2010,233,NHC_L,0,6655722,204697.5731,159233.5731,123,120800,15605.217,647.8360955
BFA,2011,233,NHC_L,0,5838921,277539.3142,187444.3142,124,117900,16081.913,670.2643815
BFA,2012,233,NHC_L,0,7176597,313264.2374,201147.1407,125,121000,16571.253,692.4447872
BFA,2013,233,NHC_L,0,7512245,373493.9262,238672.9262,125,123000,17072.785,711.0353234
BFA,2014,233,NHC_L,0,7132912,445664.5784,246848.5784,125,121000,17586.03,720.1517026
BFA,2015,233,NHC_L,0,6851108,445842.2808,421095.2808,125,121000,18110.624,726.7128302
BFA,2016,233,NHC_L,0,7368320,340822.8137,313154.8137,125,121000,18646.357,747.8868118
BFA,2017,233,NHC_L,0,6839105,412726.3897,306092.3897,124,121000,19193.234,771.6498739
BFA,2018,233,NHC_L,0,7772851,247481.6276,393483.6276,124,121000,19751.466,800.3145169
BGD,2000,16,LHC_L,5.377234077,50340571,261598.6274,2756923.627,108,94000,127657.854,524.9459068
BGD,2001,16,LHC_L,5.377234077,49150708,239999.8713,3768200.871,109,94030,130088.702,541.291704
BGD,2002,16,LHC_L,5.377234077,50424292,307010.242,3456074.242,109,93530,132478.086,551.9031589
BGD,2003,16,LHC_L,5.377234077,51582120,348000.7068,4562186.707,110,93280,134791.603,568.1393224
BGD,2004,16,LHC_L,5.377234077,50407121,272482.3203,4511141.32,110,93230,136986.432,588.3273503
BGD,2005,16,LHC_L,5.377234077,56871874,343973.9622,4425082.962,110,93110,139035.505,617.5427488
BGD,2006,16,LHC_L,5.377234077,58911651,364703.8175,6610784.817,110,92800,140921.167,649.9300318
BGD,2007,16,LHC_L,5.377234077,62211654,474665.3591,7694321.359,110,92660,142660.376,687.3231532
BGD,2008,16,LHC_L,5.377234077,68042971,426291.9637,4774037.949,109,92530,144304.167,720.357115
BGD,2009,16,LHC_L,5.377234077,67466262,314962.2653,10039729.27,108,92460,145924.797,748.2961706
BGD,2010,16,LHC_L,5.377234077,72757663,334524.4083,8574910.408,107,92410,147575.43,781.1535777
BGD,2011,16,LHC_L,5.377234077,74891066,499192.9246,8471598.925,108,91280,149273.139,822.1918492
BGD,2012,16,LHC_L,5.377234077,75139921,515278.9031,7485079.766,108,91200,151005.739,865.7619357
BGD,2013,16,LHC_L,5.377234077,77309166,418592.8131,9811659.813,109,91080,152761.418,907.2769182
BGD,2014,16,LHC_L,5.377234077,79533425,426044.6732,10363683.67,109,90990,154517.382,951.3320759
BGD,2015,16,LHC_L,5.377234077,81321381,312564.2163,15018043.22,110,91622.4,156256.276,1002.388795
BGD,2016,16,LHC_L,5.377234077,80696034,319202.5828,14048090.58,111,91942.1,157977.153,1061.997632
BGD,2017,16,LHC_L,5.377234077,87112250,297696.3488,16999257.35,113,91873.3,159685.424,1127.166886
BGD,2018,16,LHC_L,5.377234077,86967039,296012.824,15608887.82,114,92023,161376.708,1203.062281
BGR,2000,27,LHC_UM,0.208843837,10548462,612528.7078,461377.7078,111,55820,7997.957,3984.665968
BGR,2001,27,LHC_UM,0.208843837,11208489,709317.4795,635905.4795,110,54980,7930.703,4219.943189
BGR,2002,27,LHC_UM,0.208843837,12284681,1853277.073,674184.0735,109,53250,7866.239,4569.274282
BGR,2003,27,LHC_UM,0.208843837,9741750,848836.4381,715080.4381,109,53260,7804.312,4842.885654
BGR,2004,27,LHC_UM,0.208843837,13541542,1076683.347,894179.3469,109,53300,7744.632,5193.913461
